ID,Name,rate,total_rate,Poster
tt0000069,Défense d'afficher (1896) ,4.9,343,"https://m.media-amazon.com/images/M/MV5BMTUxZmQzZjAtODM3NC00YWUyLWE2NmEtODAxODZmOGEzYzQwXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UY268_CR1,0,182,268_AL_.jpg"
tt0000070,Démolition d'un mur (1896) ,6.4,"2,225","https://m.media-amazon.com/images/M/MV5BNGViNzJkZWYtYzYxNi00YTU3LTg4MWMtOGJmM2RmMGY2ZTU1XkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0000071,Départ des automobiles (1896) ,3.5,15,"https://m.media-amazon.com/images/M/MV5BMGEwNGFmZmQtYTQxYS00N2M0LWI1MmQtMTg1OGY3ZmQ1NDM0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000072,Départ des officiers (1896) ,4.2,14,"https://m.media-amazon.com/images/M/MV5BMzY1NDY3YjAtN2U0OS00NTdmLThmYjAtNzgwZGUxMDQzMzU0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000073,Effets de mer sur les rochers (1896) ,3.7,12,"https://m.media-amazon.com/images/M/MV5BYjFjODlhY2MtZWVhMy00NzYwLWFmZWEtYTU0OGViMDRjMmYwXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000074,Enfants jouant sur la plage (1896) ,4.2,15,"https://m.media-amazon.com/images/M/MV5BNTYyNzdiYWQtYjNjNi00NmU0LWI5MDktY2NjMjA4NDQyNjk0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000075,Escamotage d'une dame au théâtre Robert Houdin (1896) ,6.3,"1,532","https://m.media-amazon.com/images/M/MV5BNGRhNTcxMDMtYTMyMi00ZTIxLThiOWUtMTgwZDA2Njk4YTFjXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UY268_CR1,0,182,268_AL_.jpg"
tt0000076,Exit of Rip and the Dwarf (1896) ,4.5,425,"https://m.media-amazon.com/images/M/MV5BZGZkYTJhZmQtNTY0NC00OWI2LWIwODUtNTM2ZGQzZmE0ZjgxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDE4OTY5NzI@._V1_UY268_CR9,0,182,268_AL_.jpg"
tt0000077,"Le fakir, mystère indien (1896) ",4.8,18,"https://m.media-amazon.com/images/M/MV5BOGY0ZWRhYWYtYzMxYy00MmUyLTkxNmQtZjZhYWRhNDdlNzQ4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000078,Feira de Gado na Corujeira (1896) ,4.2,48,"https://m.media-amazon.com/images/M/MV5BMDEzMDU1NTMtOWEwYi00MGMxLTkzYzItYzdiYTcwNTdkNzhlXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR95,0,182,268_AL_.jpg"
tt0000079,La gare Saint-Lazare (1896) ,4.4,17,"https://m.media-amazon.com/images/M/MV5BOTUyYjgzNWYtOGY0OC00N2M5LWE3YTQtMjZlZGM4ZTg5M2I4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000080,Grandes manoeuvres (1896) ,4.1,13,"https://m.media-amazon.com/images/M/MV5BZmFlZWZkZTUtMGZkZS00NjlkLWIxNGMtZWI2OWZhZmI3OTY0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000081,Les haleurs de bateaux (1896) ,4.1,14,"https://m.media-amazon.com/images/M/MV5BM2ZlYjA4NmItZTYxYy00MGFiLTg3MWUtNzZmYjE1ODZmMThjXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000082,A Hard Wash (1896) ,4.8,24,"https://m.media-amazon.com/images/M/MV5BNDlkNzgyZjgtNGNkZS00YjU1LTgwNGQtZmE1MDNkODk3NDg2XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UY268_CR88,0,182,268_AL_.jpg"
tt0000083,Les indiscrets (1896) ,4.7,18,"https://m.media-amazon.com/images/M/MV5BZTI1MmZjNzUtMzNhNy00ZmFjLTg4ZjMtY2Q5ZDZjN2JkYTRkXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000084,Les ivrognes (1896) ,4.4,15,"https://m.media-amazon.com/images/M/MV5BODE1YTc5OTgtNmU0Mi00YjlkLWExYmEtZmMwOWUwYWQyOTJiXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
